code[unique=true];$parentcategories
Torsa.6023;
Amplify.2723;Amplify-Back-Size, Amplify-Back-UPSize, AmplifyStool-Back-UPSize
Amplify.2722;Amplify-Back-Size, AmplifyStool-Back-USSize
Focus.5623;Focus-Back-Size, Focus-Back-PlasticSize
Focus.5622;Focus-Back-Size
FocusStool.5623;FocusStool-Back-Size, FocusStool-Back-PlasticSize
FocusStool.5622;FocusStool-Back-Size
FocusHD.5623;FocusHD-Back-Size, FocusHD-Back-PlasticSize
FocusHD.5622;FocusHD-Back-Size
FocusExec.5624;FocusExec-Back-Size
Freelance.5314;FreelanceBar-SeatWidth
Freelance.5414;FreelanceBar-SeatWidth
Glove.7531;GloveActive-BackSize
Glove.7532;GloveActive-BackSize
Glove.7541;GloveExec-BackSize
Glove.7542;GloveExec-BackSize
NonStop.671;NonStopHDStool-BackSize
NonStop.672;NonStopHD-BackSize
NonStop.673;NonStopHD-BackSize
InFlex.971;InFlex-FrameStyle
InFlexStool.971;InFlexStool-FrameStyle
InFlex.974;InFlex-FrameStyle
InFlex.973;InFlex-Task-FrameStyle
InFlexStool.973;InFlexStool-Task-FrameStyle
Knack.3323;Knack-BackSize, KnackStool-BackSize
Prava.6422;Prava-Back-Size
Prava.6423;Prava-Back-Size
ReAlign.681;ReAlign-BackSize, ReAlignStool-BackSize
ReAlign.682;ReAlign-BackSize
TR2.40;TR2-BackSize
TR2.40E;TR2-BackSize
TR2Stool.40;TR2Stool-BackSize
Wit.2223;Wit-Back-Size
Wit.2222;Wit-Back-Size, WitStool-Back-Size
Amplify.B1;Amplify-Back-Style
AmplifyStool.B1;AmplifyStool-Back-Style
Vnt.B1;Focus-Back-Style
FocusExec.B1;FocusExec-Back-Style
FocusStool.B1;FocusStool-Back-Style
FocusHD.B1;FocusHD-Back-Style
FocusLT.B1;FocusLT-Back-Style
FocusSide.B1;FocusSide-BackStyle
FocusCafeStool.B1;FocusCafeStool-BackStyle
Movi.MB;Movi-BackStyle
MoviStool.MB;MoviStool-BackStyle
WitSide.MB;WitSide-BackStyle
B2;
Vnt.B2;Focus-Back-Style
FocusStool.B2;FocusStool-Back-Style
FocusHD.B2;FocusHD-Back-Style
Amplify.B3;Amplify-Back-Style
AmplifyStool.B3;AmplifyStool-Back-Style
FocusSide.B3;FocusSide-BackStyle
FocusCafeStool.B3;FocusCafeStool-BackStyle
FocusExec.B4;FocusExec-Back-Style
Vnt.B4;Focus-Back-Style
FocusStool.B4;FocusStool-Back-Style
FocusHD.B4;FocusHD-Back-Style
FocusLT.B4;FocusLT-Back-Style
Sona.B7;Sona-Back-Style
Wit.B1;Wit-Back-Style
Wit.B9;Wit-Back-Style
WitStool.B1;WitStool-Back-Style
WitStool.B9;WitStool-Back-Style
WitSide.TXB;WitSide-BackStyle
Sona.B8;Sona-Back-Style
*TR2Mid.B0;TR2-Midback-BackStyle
*TR2High.B0;TR2-Highback-BackStyle
*TR2Stool.B0;TR2Stool-BackStyle
E4;TR2-Midback-BackStyle
E5;TR2-Highback-BackStyle
TR2Stool.E4;TR2Stool-BackStyle
BK1;Novo-Back-Size, NovoStool-Back-Size
BK2;Novo-Back-Size
*IB;GloveExec-BackButton
RB;GloveExec-BackButton
*Freelance.HDN;Freelance-HeavyDuty
Freelance.HD;Freelance-HeavyDuty
