$productCatalog=ExemplisCatalog;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$catalogVersion=catalogversion(catalog(id[default=$productCatalog]),version[default='Staged'])[unique=true,default=$productCatalog:Staged];;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$parentcategories=supercategories(code, $catalogVersion);;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$baseProduct=baseProduct(code,$catalogVersion);;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$approved=approvalstatus(code)[default='approved'];;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$prices=europe1prices[translator=de.hybris.platform.europe1.jalo.impex.Europe1PricesTranslator];;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERT_UPDATE Product;code[unique=true];$parentcategories;$catalogVersion;name[lang=en];description[lang=en];dependentProducts(code,$catalogVersion);unit(code);$prices;toolTipText;dependencyMessage[lang=en];thumbnailURL;thumbnailLargeURL;assetID;lineartURL;dynamicRendering;sortOrder[default=0];scene7Value;exportOnly;$approved;defaultSelected;dependentCategories(code,$catalogVersion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#### Product Options;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#;Torsa.6023;;ExemplisCatalog:Staged;6023;Highback Mesh with Adjustable Lumbar;;pieces;0 USD;Broad, high-back support offers a greater surface for weight distribution enabling ergonomic support for larger users. ;;;;;;0;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Amplify.2723;Amplify-Back-Size, Amplify-Back-UPSize, AmplifyStool-Back-UPSize;ExemplisCatalog:Staged;2723;Highback with Adjustable Lumbar;;pieces;28 USD;Broad, high-back support offers a greater surface for weight distribution enabling ergonomic support for larger users. ;;;;;;0;1;;;;TRUE;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Amplify.2722;Amplify-Back-Size, AmplifyStool-Back-USSize;ExemplisCatalog:Staged;2722;Midback with Adjustable Lumbar;;pieces;0 USD;This is a perfect ergonomic back choice for smaller users or shorter-term work. ;;;;;;0;0;;;;TRUE;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Focus.5623;Focus-Back-Size, Focus-Back-PlasticSize;ExemplisCatalog:Staged;5623;Highback;;pieces;32 USD;Broad, high-back support offers a greater surface for weight distribution enabling ergonomic support for larger users. ;;;;;;0;1;;;;TRUE;Focus-Back-Headrest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Focus.5622;Focus-Back-Size;ExemplisCatalog:Staged;5622;Midback;;pieces;0 USD;This is a perfect ergonomic back choice for smaller users or shorter-term work. ;;;;;;0;0;;;;FALSE;Focus-Packaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;FocusStool.5623;FocusStool-Back-Size, FocusStool-Back-PlasticSize;ExemplisCatalog:Staged;5623;Highback;;pieces;32 USD;Broad, high-back support offers a greater surface for weight distribution enabling ergonomic support for larger users. ;;;;;;0;1;;;;TRUE;FocusStool-Back-Headrest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
